시군구,번지,아파트명,좌표X,좌표Y
서울특별시 강남구 개포동,658-1,개포6차우성,127.05721,37.476763
서울특별시 강남구 개포동,652,개포우성3차,127.0559898,37.4838941
서울특별시 강남구 개포동,12-2,개포자이,127.0766243,37.4962963
서울특별시 강남구 개포동,141,개포주공1단지,127.0585214,37.4800022
서울특별시 강남구 개포동,187,개포주공5단지,127.0680279,37.4878016
서울특별시 강남구 개포동,185,개포주공6단지,127.0726818,37.489122
서울특별시 강남구 논현동,245,동양파라곤,127.0381516,37.5147528
서울특별시 강남구 논현동,58-2,마일스디오빌,127.0289105,37.5138873
서울특별시 강남구 논현동,276-1,아크로힐스논현,127.0389311,37.509505
서울특별시 강남구 대치동,1014-3,대치삼성,127.0583563,37.4963363
서울특별시 강남구 대치동,974,대치현대,127.0610401,37.5008929
서울특별시 강남구 대치동,988-4,대치효성,127.061209114,37.499905774
서울특별시 강남구 대치동,985,래미안대치하이스턴,127.0656002,37.5011653
서울특별시 강남구 대치동,1025,롯데캐슬리베,127.053809,37.496298
서울특별시 강남구 대치동,891-6,테헤란로대우아이빌,127.0540217,37.5056902
서울특별시 강남구 도곡동,527,도곡렉슬,127.0489846,37.4930287
서울특별시 강남구 도곡동,933,도곡쌍용예가,127.0390313,37.4870576
서울특별시 강남구 도곡동,934-10,도곡우성,127.0371243,37.488203
서울특별시 강남구 도곡동,538-3,래미안도곡카운티,127.050853119,37.495329456
서울특별시 강남구 대치동,888,대치아이파크,127.0545833,37.4949838
서울특별시 강남구 대치동,316,은마,127.0650701,37.4977415
서울특별시 강남구 개포동,189,개포주공4단지,127.0713671,37.4855215
서울특별시 강남구 개포동,185,개포주공7단지,127.0716669,37.4888519
서울특별시 강남구 개포동,655-1,개포현대200동,127.0526829,37.4817013
서울특별시 강남구 개포동,649,경남1,127.0541788,37.4845189
서울특별시 강남구 개포동,649,경남2차,127.0541788,37.4845189
서울특별시 강남구 개포동,1164-30,뉴현대파크빌,127.0548038,37.4748175
서울특별시 강남구 개포동,1204-5,리치타운,127.0503774,37.4773592
서울특별시 강남구 개포동,12,삼익대청,127.0752094,37.4941774
서울특별시 강남구 개포동,1164-13,새롬,127.0530941,37.4732873
서울특별시 강남구 개포동,12,성원대치2단지,127.0752094,37.4941774
서울특별시 강남구 개포동,656,시영,127.0540479,37.4784571
서울특별시 강남구 개포동,1164-7,아람손프라자/비바빌,127.0522295,37.4727197
서울특별시 강남구 개포동,166-4,에버그린,127.0612969,37.4829094
서울특별시 강남구 개포동,179,우성8,127.0623917,37.4881753
서울특별시 강남구 개포동,651-1,우성9차,127.0572569,37.4848288
서울특별시 강남구 개포동,1260-2,우찬현대,127.0487834,37.4795179
서울특별시 강남구 개포동,172-3,현대,127.0599721,37.4843055
서울특별시 강남구 개포동,653,현대1차101동~106동,127.0544302,37.4826743
서울특별시 강남구 개포동,654,현대2,127.0512552,37.482487
서울특별시 강남구 논현동,195-1,e-편한세상,127.0287625,37.5068651
서울특별시 강남구 논현동,196,거평프리젠,127.027654,37.5063732
서울특별시 강남구 논현동,274,경남논현,127.0382213,37.5106852
서울특별시 강남구 논현동,103-11,골든캐슬,127.0388744,37.5196809
서울특별시 강남구 논현동,212-13,논현동월드메르디앙,127.034158,37.5135248
서울특별시 강남구 논현동,192-3,논현동프라임,127.0328497,37.5081772
서울특별시 강남구 논현동,205-2,논현동한화꿈에그린,127.030412,37.5068275
